Comment,Designator,Footprint,LCSC
PRTR5V0U2X,U2,SOT143B,C12333
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C129018
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
0.1uF,"C2,C3,C4,C5,C6",C_0603_1608Metric,C14663
1uF,C7,C_0603_1608Metric,C15849
22pF,"C8,C9",C_0603_1608Metric,C1653
10uF,C1,C_0603_1608Metric,C19702
SW_Push,SW1,SKQG-1155865,C202424
5.1k,"R1,R2",R_0603_1608Metric,C23186
10k,"R5,R6",R_0603_1608Metric,C23192
500mA,F1,Fuse_1206_3216Metric,C269115
22,"R3,R4",R_0603_1608Metric,C31850
ATmega32U4-AU,U1,TQFP-44_10x10mm_P0.8mm,C44854
D,"D0,D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D4,D5,D6,D7,D8,D9",D_SOD-123,C8598
1.75U,K31,SW_HiTek_MX_1.75u,
1U,K23,SW_HiTek_MX_1u,
1.5U,K28,SW_HiTek_MX_1.5u,
1.25U,K25,SW_HiTek_MX_1.25u,
1U,K1,SW_HiTek_MX_1u,
1.75U,K32,SW_HiTek_MX_1.75u,
1.75U,K15,SW_HiTek_MX_1.75u,
1.5U,K26,SW_HiTek_MX_1.5u,
1.75U,K6,SW_HiTek_MX_1.75u,
1U,K12,SW_HiTek_MX_1u,
1.5U,K29,SW_HiTek_MX_1.5u,
1U,K24,SW_HiTek_MX_1u,
1U,K2,SW_HiTek_MX_1u,
1U,K17,SW_HiTek_MX_1u,
1U,K9,SW_HiTek_MX_1u,
1U,K13,SW_HiTek_MX_1u,
1.5U,K27,SW_HiTek_MX_1.5u,
1.5U,K0,SW_HiTek_MX_1.5u,
1U,K14,SW_HiTek_MX_1u,
1U,K18,SW_HiTek_MX_1u,
1U,K3,SW_HiTek_MX_1u,
1U,K4,SW_HiTek_MX_1u,
1U,K22,SW_HiTek_MX_1u,
1.25U,K16,SW_HiTek_MX_1.25u,
1.25U,K30,SW_HiTek_MX_1.25u,
1.5U,K5,SW_HiTek_MX_1.5u,
1U,K7,SW_HiTek_MX_1u,
1.25U,K21,SW_HiTek_MX_1.25u,
1.25U,K20,SW_HiTek_MX_1.75u,
1.25U,K33,SW_HiTek_MX_1.25u,
1U,K11,SW_HiTek_MX_1u,
1U,K8,SW_HiTek_MX_1u,
1U,K10,SW_HiTek_MX_1u,
1U,K19,SW_HiTek_MX_1u,
